ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
12347,ECON,4720,001,Lecture,"3","Lidia Kosenkova","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 111","Econometric Methods","",Open,0,40,0,"Studies the application of statistical methods to the testing and estimation of economic relationships.  Emphasizes applied econometric studies and the problems that arise when analyzing  time series and cross section data by means of stochastic linear models. Prerequisite: ECON 3720 or STAT 3120 or STAT 3220 or APMA 3110 or APMA 3120; and MATH 3350 or MATH 3351 or APMA 3080."
10586,ECON,9550,001,Independent Study,"3","Eric Young","TBA","TBA","Selected Research Problems in Economics I","",Open,0,30,0,"Advanced research into specific economic problems under detailed faculty supervision."
10443,ECON,9999,001,Independent Study,"1 - 12","Steven Stern","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
10511,ECON,9999,002,Independent Study,"1 - 12","Eric Van Wincoop","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
10521,ECON,9999,003,Independent Study,"1 - 12","Eric Young","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
10548,ECON,9999,004,Independent Study,"1 - 12","James Harrigan","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
10571,ECON,9999,005,Independent Study,"1 - 12","Federico Ciliberto","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
10633,ECON,9999,006,Independent Study,"1 - 12","Sarah Turner","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
10879,ECON,9999,007,Independent Study,"1 - 12","John Mclaren","MoTuWeThFr 1:00AM - 1:50AM","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
10883,ECON,9999,008,Independent Study,"1 - 12","Ahmet Kerem Cosar","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of the first reader or prospective first reader."
12508,EDHS,2250,1,Lecture,"3","Blaire Cholewa","MoTuWeThFr 10:30AM - 12:45PM","Dell 2 103","Stress and Anxiety Management","",Open,0,45,0,"This course presents the major models of stress, examines psycho-social, intrapsychic, and environmental causes of stress and provides an overview of stress's physiological and psychological impact. Building upon researched-based practice, students will experience and explore cognitive, behavioral, and physiological techniques and strategies so as to manage life's stressors more effectively."
11079,EDHS,3060,1,Lecture,"3","Joseph Williams","MoTuWeThFr 1:00PM - 3:15PM","Ruffner Hall 173","Building Resilience in Youth, Families, and Communities","",Open,0,30,0,"This course presents theories, models and techniques related to enhancing resiliency among marginalized children, adolescents and their families across multiple settings (i.e., home, school, and community). Specifically, it will focus on identifying, understanding, and utilizing protective factors and processes that help vulnerable youth, families, and communities become stronger, more competent, and better functioning in adverse situations."
10998,EDHS,4993,004,Independent Study,"1 - 6","Jason Downer","TBA","TBA","Independent Study","",Open,0,30,0,"Independent Study"
11082,EDHS,4993,005,Independent Study,"1 - 6","Filip Loncke","TBA","TBA","Independent Study","",Open,0,30,0,"Independent Study"
11000,EDHS,4995,1,Independent Study,"1 - 6","Robert Pianta","TBA","TBA","Directed Research","",Open,0,30,0,"Prerequisite: Instructor permission."
11001,EDHS,4995,2,Independent Study,"1 - 6","Amanda Williford","TBA","TBA","Directed Research","",Open,0,30,0,"Prerequisite: Instructor permission."
11075,EDHS,5220,1,Seminar,"3","Amanda Flora","TBA","Web-Based Course","Career Development: Theory, Practice and Trends","",Open,0,15,0,"Are careers guided by careful planning beginning at a young age? Or are they a matter of chance. Perhaps it a little bit of both with additional factors you might not have thought of. Learn what goes into the multifaceted field of career development. In this course, you will learn about theories of career development, the practice career services, and trends within the field of career."
11076,EDHS,5230,1,Seminar,"3","Amanda Flora","TBA","TBA","Women, Work, and Wellness","",Open,0,15,0,"Have you wondered what the world of work looks like for women? Is it just about equal pay or could there be deeper, systemic dynamics and systems in place than we realize? And what about ""having it all"" or a work-life balance?  Explore what women experience(d) in the workplace in the past, present, and future. Specific attention will be given to career development and wellness models related to women and gender using a growth-oriented perspective."
10909,EDHS,7080,001,Lecture,"2","Randall Robey","MoTuWeTh 6:00PM - 7:50PM","Dell 1 105","Disorders of Fluency","",Open,0,50,0,"A lecture-discussion and clinical study of fluency disorders: development, theory, evaluation, and treatment."
10910,EDHS,8120,001,Lecture,"2","Randall Robey","MoTuWeTh 6:00PM - 7:50PM","Contact Department","Disorders of Communication Based in Cognitive Dysfunction II","",Open,0,50,0,"Reviews contemporary issues in the practice of speech-language pathology for persons presenting with right cerebral hemisphere pathology, traumatic brain injury, dementia including epidemiology, etiology, pathophysiology, semiology, or nosology. Introduces clinical practice including evaluation, treatment, and counseling.  Prerequisite: EDHS 7190 or instructor permission."
10911,EDHS,8150,001,Seminar,"1 - 6","Jaimee Traub","MoTuWeThFr 8:00AM - 5:00PM","Contact Department","Clinical Seminars","",Open,0,40,0,"Section 1: Clinical Education Seminar in Speech Pathology I: A clinical seminar accompanying clinical practice. The seminar focuses on professional issues and the diagnosis and rehabilitation of children and adults with communication disorders. Practicum assignments are individually structured to provide clinical and field work experience with a variety of ages, patients, and rehabilitation settings, or in a particular aspect of professional specialization. Close individual supervision is maintained by clinical instructors, and each case is discussed in weekly conference. Section 2: Clinical Education Seminar in Speech Pathology II: A clinical seminar accompanying clinical practice in medical settings. The seminar focuses on professional issues and the diagnosis and rehabilitation of children and adults with communication disorders. Practicum assignments are individually structured to provide clinical and field work experience with a variety of ages, patients, and rehabilitation settings, or in a particular aspect of professional specialization. Close individual supervision is maintained by clinical instructors, and each case is discussed in a weekly conference. Section 3: Clinical Practice in Speech and Language Pathology: Clinical practice focusing on the diagnosis and rehabilitation of children and adults with communication disorders. Practicum assignments are individually structured to provide clinical and field work experience with a variety of ages, patients, and rehabilitation settings, or in a particular aspect of professional specialization. Close individual supervision is maintained by clinical instructors, and each case is discussed in a weekly conference.  Prerequisite: Instructor permission."
12511,EDHS,8170,1,Lecture,"1 - 6","Jane Hilton","MoTuWeThFr 8:00AM - 5:00PM","Contact Department","Clinical Externship","",Open,0,50,0,"Clinical practice in the identification, diagnosis, and treatment of children and adults with communicative disorders. Programs are individually structured to provide experience with a variety of clinical populations, age groups, and specializations. The sites are off-grounds, and usually within a two hour driving distance of the University.  Prerequisite: Instructor permission."
12513,EDHS,8691,1,Practicum,"3","Kazlin Mason","TBA","TBA","Clinical Practicum: Communication Disorders","",Open,0,30,0,"Clinical Practicum for Graduate Communication Disorders students"
10988,EDHS,8700,001,Lecture,"1 - 6","Antoinette Thomas","TBA","TBA","Clinical Psychology Practicum","",Open,0,10,0,"Supervised placement in a setting designed to provide students with clinical experiences dealing with children, adults, and families."
11074,EDHS,8700,2,Lecture,"1 - 6","Julia Blodgett","TBA","TBA","Clinical Psychology Practicum","",Open,0,10,0,"Supervised placement in a setting designed to provide students with clinical experiences dealing with children, adults, and families."
10987,EDHS,8700,003,Lecture,"1 - 6","Joyce Matthews-Rurak","TBA","TBA","Clinical Psychology Practicum","",Open,0,10,0,"Supervised placement in a setting designed to provide students with clinical experiences dealing with children, adults, and families."
10990,EDHS,8998,1,Independent Study,"1 - 12","Jane Hilton","TBA","TBA","Masters Research Internship","",Open,0,10,0,"Designed to give masters students experience conducting research in professional settings appropriate to their disciplines.  Prerequisites: Permission of Advisor."
11089,EDHS,9985,1,Practicum,"1 - 12","Peter Sheras","TBA","TBA","Internship","",Open,0,1,0,"Students apply academic experiences in professional and/or research settings; reflect and critically and constructively analyze experiences from multiple perspectives; and view the work as connecting course content authentic contexts. Students work as professionals with site supervisors and instructors to complete related assignments and relevant background research on the professional and academic resources available."
11080,EDHS,9993,1,Independent Study,"1 - 6","Nicholas Barone","TBA","TBA","Independent Study","",Open,0,30,0,"Independent Study"
11086,EDHS,9993,002,Independent Study,"1 - 6","Peter Sheras","TBA","TBA","Independent Study","",Open,0,30,0,"Independent Study"
10956,EDHS,9993,003,Independent Study,"1 - 6","Amanda Williford","TBA","TBA","Independent Study","",Open,0,30,0,"Independent Study"
10939,EDHS,9998,001,Independent Study,"3 - 12","Derick Williams","TBA","TBA","Doctoral Research Apprenticeship","",Open,0,30,0,"Designed to give doctoral students experience conducting research in professional settings appropriate to their disciplines.   Prerequisite: Advisor permission required."
